Country;Currency;Technology;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Australia;National currency (nominal);Energy efficiency;..;..;..;..;..;0;5,4;7,01;..;12,93;..;8,84;..;5,36;..;6,56;..;..;..;6,65;..;13,91;..;10,148;..;9,43;..;13,68;..;13,47;48,625;32,009;30,455;34,523;43,848;39,35;131,82;99,561;71,742;71,738;29,749;29,451;21,467;28,108;32,881;46,263;30,62;46,658;58,852;21,792
Australia;National currency (nominal);Fossil fuels;..;..;..;..;..;13,41;20,75;26,29;..;44,72;..;34,59;..;33,49;..;43,83;..;..;..;67,55;..;60,26;..;113,612;..;89,14;..;94,58;..;82,67;54,152;53,492;65,184;71,92;72,205;300,273;223,83;263,692;395,598;326,75;155,952;64,41;42,331;67,878;71,2;68,4;49,117;46,41;138,832;75,171
Australia;National currency (nominal);Renewables;..;..;..;..;..;6,43;9,96;13,58;..;13,05;..;9,46;..;1,04;..;5,57;..;..;..;10,93;..;5,35;..;8,188;..;13,46;..;15,47;..;16,09;38,899;28,965;39;49,221;46,08;88,603;98,095;198,89;257,375;518,134;94,493;151,449;56,188;68,475;66,505;75,744;41,276;62,038;82,547;78,583
Australia;National currency (nominal);Nuclear;..;..;..;..;..;0;0;0;..;15,09;..;10,66;..;21,04;..;22,3;..;..;..;1,15;..;7,82;..;1,186;..;3,59;..;4,25;..;1,34;30,716;21,838;17,691;15,758;26,13;2,9;2,98;6,13;11,6;8,9;7,89;9,118;17,551;10,016;8,786;9,789;10,246;15,395;18,026;18,9
Australia;National currency (nominal);Hydrogen and fuel cells;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0,3;0;0,201;0,66;0,334;1,229;2,425;2,526;0,226;1,856;4,081;4,149;3,883;5,877;32,263;49,781;46,045;81,731;154,66;151,633
Australia;National currency (nominal);Other power and storage technologies;..;..;..;..;..;0;1,94;2,37;..;5;..;3,9;..;1,07;..;11,52;..;..;..;8,24;..;6,75;..;6,487;..;11,84;..;8,24;..;6,24;9,646;11,941;13,287;13,879;14,366;17,118;13,77;11,985;19;24,067;10,742;16,794;18,685;16,962;20,347;39,465;21,523;60,712;65,642;36,078
Australia;National currency (nominal);Other cross-cutting technologies/research;..;..;..;..;..;0;3,64;5,35;..;5,79;..;0,25;..;0,41;..;1,96;..;..;..;15,84;..;22,19;..;18,008;..;9,06;..;19,29;..;31,92;131,447;84,894;100,745;122,592;131,14;10,351;11,827;8,38;15,117;9,382;0,22;2,196;2,57;2,57;2,382;18,673;35,529;52,613;71,037;50,26
Australia;National currency (nominal);Unallocated;..;..;..;..;..;0;0;0;..;0;..;0;..;0;..;0;..;..;..;0;..;0;..;0;..;0;..;0;..;0;0;0;0;0;0;0;0;0;0;0;7,751;2,606;7,056;3,436;2,653;0;0;0;0;0
Australia;National currency (nominal);Total Budget;..;..;..;..;..;19,84;41,69;54,6;..;96,57;..;67,7;..;62,4;..;91,74;..;..;..;110,36;..;116,28;..;157,629;..;136,52;..;155,51;..;151,73;313,786;233,139;266,562;308,552;334,101;459,824;484,747;591,164;770,658;960,827;310,878;280,173;169,731;203,322;237,017;308,114;234,358;365,557;589,597;432,417
Australia;National currency (2022 prices);Energy efficiency;..;..;..;..;..;0;26,259;30,963;..;46,809;..;28,614;..;15,288;..;15,938;..;..;..;14,82;..;29,804;..;21,06;..;19,255;..;25,797;..;23,894;83,672;52,563;47,698;51,692;60,391;54,475;175,355;126,762;91,807;90,348;37,434;37,326;26,974;34,093;38,972;53,2;34,833;50,42;58,852;..
Australia;National currency (2022 prices);Fossil fuels;..;..;..;..;..;69,087;100,904;116,123;..;161,894;..;111,964;..;95,523;..;106,49;..;..;..;150,541;..;129,113;..;235,776;..;182,012;..;178,351;..;146,645;93,182;87,841;102,09;107,687;99,447;415,689;297,752;335,735;506,242;411,515;196,238;81,632;53,19;82,331;84,389;78,657;55,875;50,153;138,832;..
Australia;National currency (2022 prices);Renewables;..;..;..;..;..;33,126;48,434;59,983;..;47,243;..;30,621;..;2,966;..;13,533;..;..;..;24,358;..;11,463;..;16,992;..;27,484;..;29,172;..;28,541;66,936;47,565;61,081;73,7;63,465;122,659;130,492;253,228;329,36;652,547;118,902;191,944;70,602;83,055;78,824;87,101;46,955;67,04;82,547;..
